                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.97056,                0.50837,                0.98294,                0.93831,                0.91693,                0.93916,                0.54465,                 1.5172,                0.53768,                 1.3315,              0.0070795,              0.0070795,              0.0070795
                     61,                0.95704,                0.50014,                0.97723,                0.94776,                0.93526,                0.94587,                0.55535,                  1.503,                0.52432,                 1.3204,                0.00703,                0.00703,                0.00703
                     62,                0.96328,                 0.5038,                0.98324,                0.93637,                0.93369,                0.94963,                0.56316,                 1.4962,                0.52546,                 1.3097,              0.0069805,              0.0069805,              0.0069805
                     63,                0.94682,                0.49783,                0.97463,                0.94164,                0.93554,                0.95076,                0.56524,                 1.4871,                 0.5198,                 1.3112,               0.006931,               0.006931,               0.006931
                     64,                0.93754,                0.48985,                0.97123,                0.93715,                0.93262,                0.94933,                0.56814,                 1.4785,                 0.5209,                 1.3048,              0.0068815,              0.0068815,              0.0068815
                     65,                0.95031,                0.49556,                0.97774,                0.93723,                0.93517,                0.95013,                0.56479,                 1.4678,                0.51849,                 1.3006,               0.006832,               0.006832,               0.006832
                     66,                0.93447,                 0.4878,                0.97043,                0.93833,                0.94179,                0.94823,                0.56314,                 1.4836,                0.51746,                 1.3079,              0.0067825,              0.0067825,              0.0067825
                     67,                0.93467,                0.48986,                0.97238,                0.93377,                 0.9378,                0.94388,                0.56813,                 1.4787,                0.51626,                    1.3,               0.006733,               0.006733,               0.006733
                     68,                0.93053,                0.49046,                0.97098,                0.93742,                0.93062,                0.94709,                0.57018,                 1.4819,                0.51423,                 1.2981,              0.0066835,              0.0066835,              0.0066835
                     69,                0.92696,                0.48451,                0.96578,                0.93738,                0.93199,                0.94534,                0.57163,                 1.4803,                0.52041,                 1.3002,               0.006634,               0.006634,               0.006634
                     70,                0.91759,                0.48354,                 0.9648,                0.94245,                0.93289,                0.94243,                0.57462,                 1.4692,                0.51471,                 1.3102,              0.0065845,              0.0065845,              0.0065845
                     71,                0.91337,                0.47817,                0.96177,                0.93979,                0.94277,                0.94841,                0.56974,                 1.4746,                0.51121,                 1.3131,               0.006535,               0.006535,               0.006535
                     72,                0.91071,                 0.4765,                0.96253,                0.94077,                0.94439,                0.95149,                0.57401,                 1.4745,                0.51049,                 1.3045,              0.0064855,              0.0064855,              0.0064855
                     73,                0.91123,                0.47606,                0.96357,                 0.9415,                0.94425,                0.95238,                0.57468,                 1.4785,                 0.5183,                  1.315,               0.006436,               0.006436,               0.006436
                     74,                0.90565,                0.47514,                0.95754,                0.93888,                0.93987,                0.94751,                0.57395,                   1.47,                0.51721,                 1.3093,              0.0063865,              0.0063865,              0.0063865
                     75,                0.89846,                0.47106,                0.95882,                0.93615,                0.93534,                0.94642,                 0.5736,                 1.4652,                0.51372,                 1.3064,               0.006337,               0.006337,               0.006337
                     76,                0.89141,                0.46828,                0.95565,                0.93948,                0.93504,                0.95035,                0.57579,                 1.4624,                0.50893,                 1.3065,              0.0062875,              0.0062875,              0.0062875
                     77,                0.88582,                0.46502,                 0.9508,                0.94148,                0.92381,                0.94422,                0.57436,                  1.465,                 0.5113,                 1.3078,               0.006238,               0.006238,               0.006238
                     78,                0.87928,                0.46119,                0.94936,                0.94579,                0.93046,                0.94677,                0.57746,                 1.4506,                0.50896,                 1.2978,              0.0061885,              0.0061885,              0.0061885
                     79,                0.88219,                0.46634,                0.95549,                 0.9426,                0.92388,                0.94355,                0.57855,                 1.4491,                0.51264,                 1.3024,               0.006139,               0.006139,               0.006139
                     80,                0.86843,                0.45524,                0.94659,                0.93795,                0.92515,                0.94077,                0.57728,                   1.44,                0.51271,                 1.3012,              0.0060895,              0.0060895,              0.0060895
                     81,                 0.8734,                0.45715,                0.94746,                 0.9393,                0.92914,                0.94781,                0.58044,                 1.4401,                0.51203,                 1.2984,                0.00604,                0.00604,                0.00604
                     82,                0.86195,                0.45625,                0.94501,                0.93664,                0.93003,                0.94543,                0.58028,                 1.4397,                 0.5121,                 1.2951,              0.0059905,              0.0059905,              0.0059905
                     83,                0.86656,                0.45584,                 0.9455,                0.94189,                0.92636,                0.95165,                0.58349,                 1.4369,                0.50756,                 1.2902,               0.005941,               0.005941,               0.005941
                     84,                0.86532,                0.45567,                 0.9438,                0.94589,                0.93006,                0.95333,                0.58466,                 1.4315,                0.50392,                 1.2887,              0.0058915,              0.0058915,              0.0058915
                     85,                0.85809,                 0.4531,                0.94388,                0.94381,                0.92966,                0.95158,                0.58393,                  1.426,                 0.5069,                 1.2861,               0.005842,               0.005842,               0.005842
                     86,                0.85215,                0.45069,                0.94148,                0.94161,                0.92598,                0.94516,                0.58156,                 1.4304,                0.50543,                 1.2889,              0.0057925,              0.0057925,              0.0057925
                     87,                0.85443,                0.44805,                0.94323,                0.93807,                0.93427,                0.95041,                0.58173,                 1.4295,                0.50721,                 1.2889,               0.005743,               0.005743,               0.005743
                     88,                0.84856,                0.44911,                0.93909,                0.93394,                0.93537,                0.94638,                0.57982,                 1.4302,                0.50811,                 1.2917,              0.0056935,              0.0056935,              0.0056935
                     89,                0.84979,                0.44777,                0.94249,                0.93533,                0.93587,                0.94652,                 0.5796,                 1.4251,                0.50613,                 1.2906,               0.005644,               0.005644,               0.005644
                     90,                0.83518,                0.44079,                0.93684,                0.93381,                0.93653,                 0.9502,                0.58296,                 1.4286,                0.50551,                 1.2912,              0.0055945,              0.0055945,              0.0055945
                     91,                0.84352,                0.44432,                0.93856,                0.93514,                0.92514,                0.94757,                0.58401,                 1.4244,                0.50458,                 1.2925,               0.005545,               0.005545,               0.005545
                     92,                0.83478,                0.43871,                0.93477,                0.94344,                0.92262,                0.94712,                0.58393,                 1.4181,                 0.5003,                 1.2892,              0.0054955,              0.0054955,              0.0054955
                     93,                0.83215,                0.44004,                0.93439,                0.94204,                0.92464,                0.94857,                0.58351,                 1.4189,                0.49858,                   1.29,               0.005446,               0.005446,               0.005446
                     94,                0.83034,                0.43693,                0.93366,                0.93938,                 0.9263,                0.94359,                0.58604,                 1.4172,                0.49812,                  1.292,              0.0053965,              0.0053965,              0.0053965
                     95,                0.83009,                0.43749,                0.93693,                0.94472,                0.92846,                0.94838,                0.58374,                 1.4153,                0.49936,                 1.2915,               0.005347,               0.005347,               0.005347
                     96,                0.82744,                0.43542,                0.93456,                0.93277,                0.93751,                0.94973,                0.58483,                 1.4137,                0.49826,                 1.2903,              0.0052975,              0.0052975,              0.0052975
                     97,                0.81556,                0.43328,                0.93092,                0.93689,                0.93586,                   0.95,                0.58638,                  1.409,                0.49819,                 1.2889,               0.005248,               0.005248,               0.005248
                     98,                0.81039,                0.42712,                0.92725,                0.93129,                0.93866,                0.95037,                0.58702,                  1.407,                0.50001,                 1.2868,              0.0051985,              0.0051985,              0.0051985
                     99,                0.81033,                0.42964,                0.92774,                0.93261,                0.94252,                0.95108,                0.58749,                 1.4025,                0.50051,                  1.286,               0.005149,               0.005149,               0.005149
